# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415218528;16076212;248043344;93.91;109180;226897880;90587236;33.10;144217896;94637616
axle;60;1415218588;12927468;251192088;95.11;109324;229483728;91146716;33.30;145450564;96543924
axle;60;1415218648;12195688;251923868;95.38;109504;229728672;91623544;33.48;154288236;88434096
axle;60;1415218708;12049896;252069660;95.44;109636;230599596;90902056;33.21;154301948;88567104
axle;60;1415218768;11800788;252318768;95.53;109816;230268840;91519180;33.44;156379396;86738344
axle;60;1415218828;12564416;251555140;95.24;109976;230533788;90488896;33.06;155600200;86757096
axle;60;1415218888;12295496;251824060;95.34;110168;230822252;90527992;33.08;155830368;86797928
axle;60;1415218948;12104352;252015204;95.42;110332;231105992;90436368;33.04;156828492;85982320
axle;60;1415219008;11888264;252231292;95.50;110480;231393408;90333844;33.01;156992024;86041592
axle;60;1415219068;11469596;252649960;95.66;110660;231676884;90446044;33.05;157798064;85657400
axle;60;1415219128;11030024;253089532;95.82;110840;231965264;90583176;33.10;158404492;85484608
axle;60;1415219188;11041120;253078436;95.82;111032;232245076;90309336;33.00;158503148;85383464
