# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415218528;sdb;176.72;8388.27;35025.07;245.67;0.10;0.57;0.08;1.39
axle;60;1415218528;sda;2.83;0.00;343.87;121.36;0.00;0.00;0.00;0.00
axle;60;1415218588;sdb;492.68;8780.80;13725.07;45.68;1.13;2.29;0.04;2.15
axle;60;1415218588;sda;1.30;0.00;21.07;16.21;0.00;0.00;0.00;0.00
axle;60;1415218648;sdb;1351.15;8158.00;29399.47;27.80;2.88;2.13;0.03;3.43
axle;60;1415218648;sda;1.77;0.00;30.27;17.13;0.00;0.04;0.04;0.01
axle;60;1415218708;sdb;152.55;8192.00;18912.53;177.68;0.07;0.49;0.07;1.07
axle;60;1415218708;sda;1.05;0.00;20.93;19.94;0.00;0.00;0.00;0.00
axle;60;1415218768;sdb;170.20;9096.53;37832.67;275.73;0.55;3.25;0.12;1.98
axle;60;1415218768;sda;1.50;0.00;21.07;14.04;0.00;0.00;0.00;0.00
axle;60;1415218828;sdb;146.75;9536.00;8330.00;121.74;0.04;0.27;0.06;0.84
axle;60;1415218828;sda;1.17;0.00;22.27;19.09;0.00;0.00;0.00;0.00
axle;60;1415218888;sdb;154.68;9604.40;8906.80;119.67;0.05;0.33;0.05;0.83
axle;60;1415218888;sda;1.87;0.00;30.00;16.07;0.00;0.00;0.00;0.00
axle;60;1415218948;sdb;137.02;9459.20;7569.07;124.28;0.05;0.39;0.07;1.00
axle;60;1415218948;sda;1.40;0.00;25.73;18.38;0.00;0.00;0.00;0.00
axle;60;1415219008;sdb;129.08;9578.67;7023.20;128.61;0.04;0.28;0.06;0.73
axle;60;1415219008;sda;1.55;0.00;24.40;15.74;0.00;0.00;0.00;0.00
axle;60;1415219068;sdb;135.92;9429.47;7583.07;125.17;0.05;0.34;0.08;1.02
axle;60;1415219068;sda;1.07;0.00;20.00;18.75;0.00;0.00;0.00;0.00
axle;60;1415219128;sdb;122.22;9617.07;6454.93;131.50;0.03;0.24;0.07;0.87
axle;60;1415219128;sda;1.77;0.00;28.67;16.23;0.00;0.04;0.04;0.01
axle;60;1415219188;sdb;143.11;9436.29;8481.12;125.20;0.06;0.39;0.05;0.73
axle;60;1415219188;sda;1.43;0.00;28.13;19.63;0.00;0.00;0.00;0.00
