# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415218528;-27779.77;0.72;26416.45
axle;60;1415218588;-13119.77;0.60;10774.37
axle;60;1415218648;-3049.08;0.75;1020.60
axle;60;1415218708;-607.47;0.55;3628.85
axle;60;1415218768;-1037.95;0.75;-1378.15
axle;60;1415218828;3181.78;0.67;1103.95
axle;60;1415218888;-1120.50;0.80;1201.93
axle;60;1415218948;-796.43;0.68;1182.25
axle;60;1415219008;-900.37;0.62;1197.57
axle;60;1415219068;-1744.45;0.75;1181.15
axle;60;1415219128;-1831.55;0.75;1201.58
axle;60;1415219188;46.23;0.80;1165.69
