# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1415219280;-1;25.88;0.00;4.66;0.73;0.00;68.73
axle;60;1415219280;0;55.71;0.00;12.53;0.05;0.00;31.70
axle;60;1415219280;1;61.71;0.00;8.14;1.35;0.00;28.81
axle;60;1415219280;2;42.96;0.00;14.84;0.19;0.00;42.01
axle;60;1415219280;3;37.07;0.00;9.89;0.07;0.00;52.97
axle;60;1415219280;4;44.02;0.00;12.35;0.10;0.00;43.53
axle;60;1415219280;5;43.30;0.00;10.40;0.02;0.00;46.29
axle;60;1415219280;6;47.59;0.00;8.23;0.03;0.00;44.15
axle;60;1415219280;7;48.84;0.00;10.19;0.05;0.00;40.92
axle;60;1415219280;8;56.82;0.00;2.62;1.01;0.00;39.55
axle;60;1415219280;9;36.74;0.00;4.31;0.99;0.00;57.96
axle;60;1415219280;10;26.86;0.00;3.71;0.89;0.00;68.54
axle;60;1415219280;11;26.78;0.00;4.08;1.41;0.00;67.72
axle;60;1415219280;12;28.35;0.00;5.00;1.44;0.00;65.21
axle;60;1415219280;13;40.81;0.00;7.02;0.30;0.00;51.88
axle;60;1415219280;14;27.63;0.00;4.65;0.08;0.00;67.64
axle;60;1415219280;15;22.91;0.00;4.53;1.13;0.00;71.43
axle;60;1415219280;16;24.00;0.00;3.85;0.08;0.00;72.07
axle;60;1415219280;17;22.19;0.00;4.09;0.02;0.00;73.71
axle;60;1415219280;18;23.87;0.00;3.79;0.00;0.00;72.34
axle;60;1415219280;19;23.74;0.00;4.40;0.08;0.00;71.77
axle;60;1415219280;20;19.49;0.00;4.58;3.15;0.00;72.78
axle;60;1415219280;21;17.72;0.00;3.62;3.37;0.00;75.29
axle;60;1415219280;22;21.53;0.00;4.26;3.47;0.00;70.74
axle;60;1415219280;23;18.23;0.00;3.90;0.02;0.00;77.86
axle;60;1415219280;24;62.01;0.00;2.60;0.50;0.00;34.89
axle;60;1415219280;25;33.90;0.00;3.58;1.47;0.00;61.04
axle;60;1415219280;26;16.39;0.00;3.18;1.19;0.00;79.24
axle;60;1415219280;27;18.38;0.00;3.13;0.32;0.00;78.17
axle;60;1415219280;28;14.85;0.00;3.11;0.08;0.00;81.95
axle;60;1415219280;29;14.36;0.00;2.98;1.68;0.00;80.99
axle;60;1415219280;30;15.99;0.00;4.24;0.72;0.00;79.05
axle;60;1415219280;31;14.25;0.00;2.72;0.37;0.00;82.67
axle;60;1415219280;32;39.50;0.00;6.86;0.10;0.00;53.54
axle;60;1415219280;33;28.06;0.00;8.26;0.15;0.00;63.53
axle;60;1415219280;34;31.30;0.00;8.13;0.27;0.00;60.30
axle;60;1415219280;35;48.98;0.00;7.51;3.20;0.00;40.31
axle;60;1415219280;36;45.30;0.00;5.15;0.02;0.00;49.54
axle;60;1415219280;37;40.41;0.00;7.29;0.13;0.00;52.17
axle;60;1415219280;38;36.16;0.00;6.56;0.02;0.00;57.26
axle;60;1415219280;39;39.19;0.00;7.11;0.02;0.00;53.68
axle;60;1415219280;40;13.63;0.00;2.18;0.03;0.00;84.15
axle;60;1415219280;41;16.49;0.00;2.27;0.00;0.00;81.24
axle;60;1415219280;42;20.43;0.00;3.45;3.90;0.00;72.21
axle;60;1415219280;43;22.78;0.00;2.96;0.15;0.00;74.11
axle;60;1415219280;44;19.48;0.00;2.92;0.20;0.00;77.39
axle;60;1415219280;45;12.07;0.00;3.81;2.41;0.00;81.71
axle;60;1415219280;46;19.50;0.00;2.70;0.12;0.00;77.69
axle;60;1415219280;47;16.47;0.00;2.93;0.13;0.00;80.46
axle;60;1415219280;48;13.91;0.00;3.10;0.03;0.00;82.96
axle;60;1415219280;49;13.03;0.00;3.06;1.15;0.00;82.75
axle;60;1415219280;50;11.67;0.00;3.53;0.02;0.00;84.78
axle;60;1415219280;51;15.16;0.00;3.51;0.00;0.00;81.32
axle;60;1415219280;52;24.96;0.00;3.14;0.00;0.00;71.90
axle;60;1415219280;53;14.41;0.00;2.93;3.63;0.00;79.03
axle;60;1415219280;54;11.65;0.00;2.43;0.10;0.00;85.82
axle;60;1415219280;55;13.27;0.00;2.69;0.00;0.00;84.04
axle;60;1415219280;56;11.68;0.00;1.97;0.25;0.00;86.09
axle;60;1415219280;57;10.80;0.00;1.81;1.39;0.00;86.01
axle;60;1415219280;58;9.82;0.00;1.82;0.45;0.00;87.91
axle;60;1415219280;59;11.20;0.00;1.89;0.05;0.00;86.86
axle;60;1415219280;60;11.35;0.00;1.59;0.42;0.00;86.65
axle;60;1415219280;61;9.77;0.00;1.85;0.43;0.00;87.95
axle;60;1415219280;62;9.82;0.00;1.35;2.04;0.00;86.79
axle;60;1415219280;63;7.80;0.00;1.92;0.05;0.00;90.23
axle;60;1415219340;-1;27.92;0.00;3.21;0.07;0.00;68.80
axle;60;1415219340;0;69.11;0.00;6.12;0.02;0.00;24.75
axle;60;1415219340;1;59.70;0.00;5.31;0.00;0.00;34.98
axle;60;1415219340;2;55.96;0.00;5.55;0.02;0.00;38.47
axle;60;1415219340;3;58.87;0.00;5.46;0.00;0.00;35.67
axle;60;1415219340;4;52.73;0.00;8.60;0.00;0.00;38.67
axle;60;1415219340;5;50.93;0.00;5.90;0.00;0.00;43.17
axle;60;1415219340;6;56.37;0.00;4.67;0.00;0.00;38.97
axle;60;1415219340;7;47.52;0.00;6.01;0.22;0.00;46.24
axle;60;1415219340;8;39.00;0.00;5.36;0.08;0.00;55.56
axle;60;1415219340;9;35.69;0.00;3.86;0.10;0.00;60.35
axle;60;1415219340;10;22.82;0.00;4.16;0.24;0.00;72.78
axle;60;1415219340;11;22.31;0.00;3.44;0.00;0.00;74.24
axle;60;1415219340;12;23.40;0.00;2.62;0.02;0.00;73.96
axle;60;1415219340;13;25.89;0.00;3.97;0.02;0.00;70.12
axle;60;1415219340;14;25.20;0.00;3.11;0.44;0.00;71.26
axle;60;1415219340;15;23.29;0.00;2.43;0.00;0.00;74.28
axle;60;1415219340;16;35.77;0.00;4.47;0.00;0.00;59.76
axle;60;1415219340;17;36.64;0.00;4.18;0.00;0.00;59.18
axle;60;1415219340;18;23.01;0.00;4.50;0.40;0.00;72.09
axle;60;1415219340;19;29.61;0.00;3.73;0.20;0.00;66.47
axle;60;1415219340;20;23.76;0.00;2.67;0.00;0.00;73.57
axle;60;1415219340;21;26.47;0.00;4.13;0.23;0.00;69.17
axle;60;1415219340;22;21.94;0.00;3.02;0.00;0.00;75.04
axle;60;1415219340;23;22.99;0.00;4.09;0.27;0.00;72.65
axle;60;1415219340;24;47.45;0.00;3.93;0.05;0.00;48.57
axle;60;1415219340;25;51.68;0.00;2.83;0.00;0.00;45.49
axle;60;1415219340;26;16.21;0.00;2.58;0.00;0.00;81.21
axle;60;1415219340;27;35.63;0.00;3.78;0.30;0.00;60.28
axle;60;1415219340;28;14.29;0.00;3.05;0.00;0.00;82.66
axle;60;1415219340;29;15.33;0.00;2.66;0.00;0.00;82.00
axle;60;1415219340;30;17.22;0.00;2.73;0.02;0.00;80.04
axle;60;1415219340;31;19.06;0.00;2.64;0.00;0.00;78.29
axle;60;1415219340;32;33.73;0.00;3.58;0.07;0.00;62.62
axle;60;1415219340;33;40.96;0.00;4.47;1.44;0.00;53.13
axle;60;1415219340;34;44.78;0.00;4.86;0.17;0.00;50.19
axle;60;1415219340;35;32.26;0.00;3.94;0.05;0.00;63.75
axle;60;1415219340;36;40.94;0.00;4.29;0.00;0.00;54.77
axle;60;1415219340;37;43.53;0.00;4.09;0.00;0.00;52.38
axle;60;1415219340;38;39.18;0.00;4.55;0.00;0.00;56.27
axle;60;1415219340;39;45.17;0.00;3.71;0.05;0.00;51.07
axle;60;1415219340;40;13.31;0.00;3.38;0.00;0.00;83.31
axle;60;1415219340;41;16.38;0.00;1.42;0.00;0.00;82.20
axle;60;1415219340;42;20.69;0.00;1.54;0.00;0.00;77.77
axle;60;1415219340;43;16.81;0.00;2.09;0.00;0.00;81.10
axle;60;1415219340;44;16.13;0.00;1.77;0.00;0.00;82.10
axle;60;1415219340;45;15.92;0.00;2.54;0.00;0.00;81.54
axle;60;1415219340;46;20.83;0.00;1.62;0.23;0.00;77.32
axle;60;1415219340;47;15.18;0.00;1.39;0.00;0.00;83.43
axle;60;1415219340;48;13.67;0.00;2.07;0.00;0.00;84.26
axle;60;1415219340;49;14.07;0.00;1.69;0.00;0.00;84.24
