Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

20:02:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:03:38        all     10.08      0.00      1.04      0.23      0.00     88.65
20:04:38        all      7.47      0.00      0.62      0.18      0.00     91.73
20:05:38        all      3.38      0.00      0.43      0.20      0.00     95.98
20:06:38        all      3.13      0.00      0.28      0.06      0.00     96.53
20:07:38        all      3.11      0.00      0.29      0.06      0.00     96.53
20:08:38        all      2.83      0.00      0.43      0.35      0.00     96.38
20:09:38        all      4.58      0.00      1.41      0.04      0.00     93.96
20:10:38        all      9.33      0.00      1.04      0.06      0.00     89.57
20:11:38        all      5.95      0.00      0.45      0.22      0.00     93.38
20:12:38        all      4.75      0.00      0.19      0.02      0.00     95.04
20:13:38        all      4.70      0.00      0.24      0.02      0.00     95.04
