# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415217818;sdb;663.48;8423.87;294282.27;456.24;9.71;14.64;0.19;12.62
axle;60;1415217818;sda;2.50;0.13;48.40;19.41;0.00;0.03;0.03;0.01
axle;60;1415217878;sdb;553.42;8482.40;240885.20;450.60;6.64;12.01;0.21;11.41
axle;60;1415217878;sda;1.28;0.00;19.07;14.86;0.00;0.00;0.00;0.00
axle;60;1415217938;sdb;528.88;8247.47;224136.27;439.39;8.75;16.55;0.21;11.15
axle;60;1415217938;sda;1.18;0.00;21.33;18.03;0.00;0.06;0.06;0.01
axle;60;1415217998;sdb;320.92;8064.00;111311.60;371.98;2.84;8.84;0.14;4.65
axle;60;1415217998;sda;1.20;0.00;18.00;15.00;0.00;0.00;0.00;0.00
axle;60;1415218058;sdb;356.90;7992.00;130992.67;389.42;2.54;7.12;0.14;4.99
axle;60;1415218058;sda;0.88;0.00;14.53;16.45;0.00;0.53;0.08;0.01
axle;60;1415218118;sdb;641.40;8188.13;293734.27;470.72;17.91;27.92;0.25;16.21
axle;60;1415218118;sda;1.13;0.00;16.93;14.94;0.00;0.00;0.00;0.00
axle;60;1415218178;sdb;238.40;8361.07;83144.27;383.83;0.21;0.90;0.15;3.69
axle;60;1415218178;sda;1.20;0.00;20.53;17.11;0.00;0.00;0.00;0.00
axle;60;1415218238;sdb;294.15;9125.07;92782.27;346.45;0.29;0.98;0.17;4.93
axle;60;1415218238;sda;1.43;0.00;24.40;17.02;0.00;0.00;0.00;0.00
axle;60;1415218298;sdb;527.87;8539.60;222626.67;437.93;2.11;4.00;0.22;11.66
axle;60;1415218298;sda;1.15;0.00;18.27;15.88;0.00;0.00;0.00;0.00
axle;60;1415218358;sdb;198.67;9447.33;38406.40;240.87;0.17;0.84;0.10;1.92
axle;60;1415218358;sda;0.82;0.00;14.00;17.14;0.00;0.00;0.00;0.00
axle;60;1415218418;sdb;241.87;9477.60;47683.33;236.33;0.13;0.54;0.08;2.04
axle;60;1415218418;sda;0.98;0.00;15.47;15.73;0.00;0.00;0.00;0.00
